name,website,description,official.gov yes or no
NOAA Atmospheric Winds (HD Winds),https://www.ospo.noaa.gov/Products/atmosphere/hdwinds/,High-density atmospheric wind products from NOAA.,Yes
Coastal Water Temperature Guide,https://coastalwatertemperatureguide-noaa.hub.arcgis.com,Real-time NOAA map of coastal water temperatures.,Yes
Texas Regional Rainfall,https://www.weather.gov/crp/texas_regional_rainfall,NWS rainfall totals and data across Texas.,Yes
WPC Day 1–7 QPF,https://www.wpc.ncep.noaa.gov/qpf/day1-7.shtml,Quantitative precipitation forecasts from the Weather Prediction Center.,Yes
iWeatherNet Severe Weather Browser,https://www.iweathernet.com/weathernet-severe-weather-browser,Map browser for monitoring severe weather risk and observations.,No
NESDIS Home Page,https://www.nesdis.noaa.gov,NOAA satellite and earth observation data center homepage.,Yes
CIMSS Tropical Cyclone Page,https://cimss.ssec.wisc.edu/imagery-of-the-week/,Research imagery of tropical cyclones and analysis from CIMSS.,No
Woods Hole Hurricane Info,https://www.whoi.edu,Woods Hole Oceanographic Institution’s research on hurricanes and ocean science.,No
Center for Science Education Hurricanes,https://scied.ucar.edu,Hurricane educational content for students and educators.,No
LuckGrib Hurricane Tracker,https://www.luckgrib.com,Marine weather and hurricane tracking software.,No
Weather Wiz Kids,https://www.weatherwizkids.com,Weather learning resources for children.,No
WPC Met Watch,https://www.wpc.ncep.noaa.gov/html/sfc2.shtml,Weather Prediction Center surface and mesoscale discussions.,Yes
WPC Surface Analysis Archive,https://www.wpc.ncep.noaa.gov/sfc/UASfcManualVersion1.pdf,Archive and manual for surface weather analyses.,Yes
National Forecast Maps,https://www.weather.gov,National Weather Service forecast and analysis maps.,Yes
NWS Severe Weather Forecasting Tip Sheet,https://www.weather.gov/media/lmk/soo/SvrWx_Fcstg_TipSheet.pdf,Quick-reference tip sheet for severe weather forecasting.,Yes
